link_real,nombre_muni,nombre_dep,mesas_informadas%,mesas_usadas,mesas_disponibles,votantes%,votantes_cumplieron,votantes_habilidatos,apoya%,apoya#,no_apoya%,no_apoya#,votos_validos,votos_no_marcados,votos_anulados
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60010ZZZZZZZZZZZZ_L1.htm,EL ENCANTO,AMAZONAS,100.0,2,2,30.01,223,743,76.92,170,23.07,51,221,0,2
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60013ZZZZZZZZZZZZ_L1.htm,LA CHORRERA,AMAZONAS,100.0,3,3,35.53,366,1030,82.87,300,17.12,62,362,1,3
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60016ZZZZZZZZZZZZ_L1.htm,LA PEDRERA,AMAZONAS,100.0,3,3,21.42,216,1008,88.31,189,11.68,25,214,1,1
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,LA VICTORIA,AMAZONAS,100.0,1,1,27.77,5,18,80.0,4,20.0,1,5,0,0
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60001ZZZZZZZZZZZZ_L1.htm,LETICIA,AMAZONAS,100.0,82,82,25.98,8990,34592,49.66,4403,50.33,4463,8866,40,84
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60019ZZZZZZZZZZZZ_L1.htm,MIRITI PARANA,AMAZONAS,100.0,2,2,20.12,96,477,92.7,89,7.29,7,96,0,0
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60030ZZZZZZZZZZZZ_L1.htm,PUERTO ALEGRIA,AMAZONAS,100.0,1,1,22.77,59,259,91.22,52,8.77,5,57,1,1
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60040ZZZZZZZZZZZZ_L1.htm,PUERTO ARICA,AMAZONAS,100.0,1,1,29.38,119,405,81.51,97,18.48,22,119,0,0
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60007ZZZZZZZZZZZZ_L1.htm,PUERTO NARIÑO,AMAZONAS,100.0,10,10,26.7,1153,4317,75.18,830,24.81,274,1104,32,17
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60021ZZZZZZZZZZZZ_L1.htm,PUERTO SANTANDER,AMAZONAS,100.0,2,2,22.27,143,642,88.65,125,11.34,16,141,0,2
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL60022ZZZZZZZZZZZZ_L1.htm,TARAPACA,AMAZONAS,100.0,3,3,26.38,344,1304,79.57,265,20.42,68,333,7,4
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL01004ZZZZZZZZZZZZ_L1.htm,ABEJORRAL,ANTIOQUIA,100.0,39,39,23.87,3647,15274,38.1,1296,61.89,2105,3401,194,52
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL01007ZZZZZZZZZZZZ_L1.htm,ABRIAQUI,ANTIOQUIA,100.0,6,6,29.51,572,1938,39.08,213,60.91,332,545,14,13
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL01010ZZZZZZZZZZZZ_L1.htm,ALEJANDRIA,ANTIOQUIA,100.0,11,11,37.9,1735,4577,58.12,966,41.87,696,1662,51,22
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL01013ZZZZZZZZZZZZ_L1.htm,AMAGA,ANTIOQUIA,100.0,53,53,28.91,6370,22028,33.48,2084,66.51,4139,6223,53,94
https://elecciones.registraduria.gov.co/pre_plebis_2016/99PL/DPL01016ZZZZZZZZZZZZ_L1.htm,AMALFI,ANTIOQUIA,100.0,40,40,22.55,3818,16928,36.24,1310,63.75,2304,3614,132,72
